=== E4 · sonda Escenario A ===
PGHOST=crdb-1,crdb-2,crdb-3
Fila objetivo: controldisponibilidad(id=1), RF=3 (ver evidence/cluster-inspect.txt)
Señal de falla: evidence/falla-nodo-stop.epoch
2026-09-14T22:14:09.709+00:00 after-stop  ok      14.009 ms 
2026-09-14T22:14:10.209+00:00 after-stop  ok      13.425 ms 
2026-09-14T22:14:10.705+00:00 after-stop  ok       9.984 ms 
2026-09-14T22:14:11.210+00:00 after-stop  ok      14.969 ms 
2026-09-14T22:14:11.712+00:00 after-stop  ok      17.106 ms 
2026-09-14T22:14:12.213+00:00 after-stop  ok      17.251 ms 
2026-09-14T22:14:12.713+00:00 after-stop  ok      17.414 ms 
2026-09-14T22:14:13.210+00:00 after-stop  ok      13.915 ms 
2026-09-14T22:14:13.710+00:00 after-stop  ok      14.218 ms 
2026-09-14T22:14:14.214+00:00 after-stop  ok      17.664 ms 
2026-09-14T22:14:14.706+00:00 after-stop  ok      10.226 ms 
2026-09-14T22:14:15.213+00:00 after-stop  ok      17.328 ms 
2026-09-14T22:14:15.713+00:00 after-stop  ok      16.664 ms 
2026-09-14T22:14:16.214+00:00 after-stop  ok      17.539 ms 
2026-09-14T22:14:16.707+00:00 after-stop  ok      10.496 ms 
2026-09-14T22:14:17.214+00:00 after-stop  ok      17.284 ms 
2026-09-14T22:14:17.711+00:00 after-stop  ok      14.516 ms 
2026-09-14T22:14:18.206+00:00 after-stop  ok       9.722 ms 
2026-09-14T22:14:18.707+00:00 after-stop  ok      10.817 ms 
2026-09-14T22:14:19.214+00:00 after-stop  ok      17.243 ms 
2026-09-14T22:14:19.707+00:00 after-stop  ok      10.533 ms 
2026-09-14T22:14:20.211+00:00 after-stop  ok      13.977 ms 
2026-09-14T22:14:20.715+00:00 after-stop  ok      17.678 ms 
2026-09-14T22:14:21.212+00:00 after-stop  ok      14.525 ms 
2026-09-14T22:14:21.707+00:00 after-stop  ok      10.049 ms 
2026-09-14T22:14:22.215+00:00 after-stop  ok      17.755 ms 
2026-09-14T22:14:22.711+00:00 after-stop  ok      14.080 ms 
2026-09-14T22:14:23.208+00:00 after-stop  ok      11.125 ms 
2026-09-14T22:14:23.712+00:00 after-stop  ok      14.440 ms 
2026-09-14T22:14:24.215+00:00 after-stop  ok      17.660 ms 
2026-09-14T22:14:24.708+00:00 after-stop  ok      10.851 ms 
2026-09-14T22:14:25.212+00:00 after-stop  ok      14.407 ms 
2026-09-14T22:14:25.712+00:00 after-stop  ok      14.321 ms 
2026-09-14T22:14:26.215+00:00 after-stop  ok      17.613 ms 
2026-09-14T22:14:26.712+00:00 after-stop  ok      13.940 ms 
2026-09-14T22:14:27.211+00:00 after-stop  ok      13.173 ms 
2026-09-14T22:14:27.712+00:00 after-stop  ok      13.908 ms 
2026-09-14T22:14:28.212+00:00 after-stop  ok      14.126 ms 
2026-09-14T22:14:28.712+00:00 after-stop  ok      13.716 ms 
2026-09-14T22:14:29.213+00:00 after-stop  ok      14.218 ms 
2026-09-14T22:14:29.712+00:00 after-stop  ok      13.791 ms 
2026-09-14T22:14:30.213+00:00 after-stop  ok      13.995 ms 
2026-09-14T22:14:30.716+00:00 after-stop  ok      17.367 ms 
2026-09-14T22:14:31.209+00:00 after-stop  ok      10.289 ms 
2026-09-14T22:14:31.716+00:00 after-stop  ok      17.159 ms 
2026-09-14T22:14:32.213+00:00 after-stop  ok      13.807 ms 
2026-09-14T22:14:32.713+00:00 after-stop  ok      14.118 ms 
2026-09-14T22:14:33.213+00:00 after-stop  ok      13.478 ms 
2026-09-14T22:14:33.713+00:00 after-stop  ok      13.949 ms 
2026-09-14T22:14:34.216+00:00 after-stop  ok      16.841 ms 
2026-09-14T22:14:34.710+00:00 after-stop  ok      11.029 ms 
2026-09-14T22:14:35.214+00:00 after-stop  ok      14.287 ms 
2026-09-14T22:14:35.717+00:00 after-stop  ok      17.534 ms 
2026-09-14T22:14:36.214+00:00 after-stop  ok      14.109 ms 
2026-09-14T22:14:36.713+00:00 after-stop  ok      13.647 ms 
2026-09-14T22:14:37.213+00:00 after-stop  ok      13.659 ms 
2026-09-14T22:14:37.722+00:00 after-stop  ok      22.588 ms 
2026-09-14T22:14:38.213+00:00 after-stop  ok      13.001 ms 
2026-09-14T22:14:38.714+00:00 after-stop  ok      14.310 ms 
2026-09-14T22:14:39.216+00:00 after-stop  ok      16.222 ms 
2026-09-14T22:14:39.714+00:00 after-stop  ok      13.572 ms 
2026-09-14T22:14:40.214+00:00 after-stop  ok      13.865 ms 
2026-09-14T22:14:40.717+00:00 after-stop  ok      17.188 ms 
2026-09-14T22:14:41.214+00:00 after-stop  ok      13.529 ms 
2026-09-14T22:14:41.714+00:00 after-stop  ok      13.308 ms 
2026-09-14T22:14:42.215+00:00 after-stop  ok      14.523 ms 
2026-09-14T22:14:42.714+00:00 after-stop  ok      13.856 ms 
2026-09-14T22:14:43.215+00:00 after-stop  ok      14.088 ms 
2026-09-14T22:14:43.721+00:00 after-stop  ok      19.819 ms 
2026-09-14T22:14:44.215+00:00 after-stop  ok      14.082 ms 
2026-09-14T22:14:44.711+00:00 after-stop  ok      10.362 ms 
2026-09-14T22:14:45.211+00:00 after-stop  ok       9.897 ms 
2026-09-14T22:14:45.715+00:00 after-stop  ok      13.981 ms 
2026-09-14T22:14:46.215+00:00 after-stop  ok      13.774 ms 
2026-09-14T22:14:46.711+00:00 after-stop  ok      10.236 ms 
2026-09-14T22:14:47.218+00:00 after-stop  ok      16.683 ms 
2026-09-14T22:14:47.718+00:00 after-stop  ok      16.848 ms 
2026-09-14T22:14:48.215+00:00 after-stop  ok      13.853 ms 
2026-09-14T22:14:48.719+00:00 after-stop  ok      17.232 ms 
2026-09-14T22:14:49.219+00:00 after-stop  ok      16.905 ms 
2026-09-14T22:14:49.721+00:00 after-stop  ok      19.550 ms 
2026-09-14T22:14:50.215+00:00 after-stop  ok      13.657 ms 
2026-09-14T22:14:50.716+00:00 after-stop  ok      14.061 ms 
2026-09-14T22:14:51.216+00:00 after-stop  ok      13.729 ms 
2026-09-14T22:14:51.722+00:00 after-stop  ok      20.180 ms 

Muestras: evidence/falla-nodo.csv
Errores después de la señal: 2
RTO observado hasta primer write OK: 4187.3 ms
RPO se verifica aparte: la fila confirmada antes de la falla debe seguir presente y su version no debe retroceder.
