operation,locality,home_region,run,latency_ms
write,remote,cr-limon,20,0.939
write,remote,cr-limon,21,0.886
write,remote,cr-limon,22,0.915
write,remote,cr-limon,23,0.916
write,remote,cr-limon,24,0.928
write,remote,cr-limon,25,0.994
write,remote,cr-limon,26,0.849
write,remote,cr-limon,27,0.868
write,remote,cr-limon,28,0.901
write,remote,cr-limon,29,1.073
write,remote,cr-limon,30,0.950
write,remote,cr-limon,31,0.835
write,remote,cr-limon,32,0.853
write,remote,cr-limon,33,0.953
write,remote,cr-limon,34,0.887
write,remote,cr-limon,35,0.981
write,remote,cr-limon,36,0.923
write,remote,cr-limon,37,0.830
write,remote,cr-limon,38,0.923
write,remote,cr-limon,39,0.805
write,remote,cr-limon,40,0.941
write,remote,cr-limon,41,0.881
write,remote,cr-limon,42,0.881
write,remote,cr-limon,43,0.893
write,remote,cr-limon,44,0.848
write,remote,cr-limon,45,1.120
write,remote,cr-limon,46,0.873
write,remote,cr-limon,47,1.006
write,remote,cr-limon,48,0.921
write,remote,cr-limon,49,0.936
write,remote,cr-limon,50,0.851
